they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
they | they | person:Pronoun | were needed for | be need for | the journey | journey | 
Ms. Wilson 's fellow passengers | passenger | person:WordNet | began whispering among | begin whisper among | themselves | themselves | 
he | he | person:Pronoun | mention | mention | love | love | 
he | he | person:Pronoun | mention love to | mention love to | you | you | person:Pronoun
we | we | person:Pronoun | 're on | be on | Candid Camera | Candid Camera | 
they | they | person:Pronoun | were having | be have | a good time | time | 
he | he | person:Pronoun | shouted after | shout after | them | they | person:Pronoun
we | we | person:Pronoun | last heard | hear | anything | anything | 
she | she | person:Pronoun | has n't seen | see | him | he | person:Pronoun
he | he | person:Pronoun | is Award | be | the recipient of Metropolitan Diary 's First Annual Good Guy of the Year | recipient | person:WordNet
he | he | person:Pronoun | is the recipient Award of | be recipient of | Metropolitan Diary 's First Annual Good Guy of the Year | First Annual Good Guy | 
Setauket | Setauket |  | be courtesy of | be courtesy of | Alfred Siegel | Alfred Siegel | person:Stanford
a sign | sign |  | be seen during | be see during | the holidays | holiday | time_period:WordNet
It | It |  | was taped above | be tape above | the dairy section | section | 
It | It |  | carried away with | carry with | the spirit of the season | spirit | 
BUT THERE | BUT THERE |  | IS | IS | A SANTA CLAUS | SANTA CLAUS | 
athletic heroes | hero | leader:WordNet,person:WordNet | ate | eat | the Breakfast of Champions | Breakfast | nutrient:WordNet
Way | Way |  | Now take | take | anabolic steroids | steroid | substance:WordNet
progress fans | fan | device:WordNet | extract of | extract of | growth hormone | hormone | substance:WordNet
he | he | person:Pronoun | had been approached by | be approach by | a man who had some and wanted advice on how to dose his son | man | person:WordNet
it | it |  | might well turn | turn | a fine broth of a boy | broth | nutrient:WordNet
it | it |  | might well turn a fine broth of a boy into | turn broth of boy into | a seven-footer weighing 400 pounds | pound | 
This stuff | stuff | substance:WordNet | packs | pack | real human-enlargement capability | capability | 
it | it |  | will be legalized for | be legalize for | the purpose swelling up athletes | purpose | 
Kids | Kids |  | will find | find | it | it | 
only 6 feet 4 | foot |  | get artificially enlarged to | get enlarge to | such vastness | vastness | 
he | he | person:Pronoun | can set | set | a record | record | 
Adolescence | Adolescence |  | is | be | the time of fools | time | 
Adolescence | Adolescence |  | is the time of | be time of | fools | fool | person:WordNet
It | It |  | was though with skepticism | be with skepticism | the Stone Age | Stone Age | 
The only thing available | thing |  | was | be | the Breakfast of Champions | Breakfast | nutrient:WordNet
The only thing available | thing |  | was the Breakfast of | be Breakfast of | Champions | Champions | 
the country | country | organization:WordNet | was n't swarming with | be swarm with | champions | champion | person:WordNet
I | I | person:Pronoun | ate | eat | it | it | 
my mother | mother | person:WordNet | to relent on | to relent on | the oatmeal | oatmeal | nutrient:WordNet
I | I | person:Pronoun | also drank | drink | plenty of milk | plenty | 
the health police | police | organization:WordNet | had n't yet put | put | milk | milk | nutrient:WordNet,substance:WordNet
the health police | police | organization:WordNet | had n't yet put milk on | put milk on | the public-enemy list | list | 
I | I | person:Pronoun | slept by | sleep by | an open window | window | structure:WordNet
I | I | person:Pronoun | slept in | sleep in | all seasons | season | time_period:WordNet
I | I | person:Pronoun | ate | eat | a lot of raw carrots | carrot | 
I | I | person:Pronoun | was taking out | be take out | insurance | insurance | 
me | I | person:Pronoun | to become | to become | a champion | champion | person:WordNet
me | I | person:Pronoun | to become a champion at | to become champion at | baseball | baseball | sport:WordNet,game:WordNet,activity:WordNet
the Breakfast of Champions | Breakfast | nutrient:WordNet,organization:Stanford | failed to beef | fail to beef | me | I | person:Pronoun
hunger | hunger |  | could warp | warp | the conduct of American youth | conduct | activity:WordNet
hunger | hunger |  | could warp the conduct of American youth in | warp conduct of youth in | that primitive age | age | 
I | I | person:Pronoun | weighed | weigh | 139 pounds | pound | 
Championhood | Championhood | person:Stanford | was to be | be to be | not to be mine | mine | 
we | we | person:Pronoun | left | leave | Buck and the beautiful Wilma Deering | Buck | 
Buck and the beautiful Wilma Deering | Buck |  | be trapped by | be trap by | Killer Kane | Killer Kane | person:Stanford
Buck and the beautiful Wilma Deering | Buck |  | be trapped in | be trap in | an out-of-gas rocket ship adrift | adrift | 
Buck and the beautiful Wilma Deering | Buck |  | be a desolate belt of | be belt of | fiery rocks lying between Jupiter | rock | 
fiery rocks | rock |  | lying between | lie between | Jupiter | Jupiter | person:Stanford
the beautiful Wilma Deering | Wilma Deering | person:Stanford,organization:Stanford | was flying | be fly | the space beat | beat | location:WordNet
the way age | age |  | adds | add | doughy tonnage | tonnage | 
the way age | age |  | adds doughy tonnage to | add doughy tonnage to | the once-lissome figure of youth | figure | 
I | I | person:Pronoun | might now weigh | weigh | 350 pounds | pound | 
this condition | condition |  | would subject | subject | me | I | person:Pronoun
we | we | person:Pronoun | ca n't fit into | fit into | the parlor | parlor | structure:WordNet
we | we | person:Pronoun | 'll stand out here in | stand out in | the hall | hall | 
we | we | person:Pronoun | say | say | gee whiz | whiz | person:WordNet
you | you | person:Pronoun | 'll tell us again about | tell about | the time you weighed only 210 pounds and made third-string running guard on the all-high-school football team | time | 
you | you | person:Pronoun | weighed | weigh | only 210 pounds | pound | 
you | you | person:Pronoun | be made third-string running guard on | be make run guard on | the all-high-school football team | team | organization:WordNet
the powerful growth hormone | hormone | substance:WordNet | coming onto | come onto | the scene | scene | location:WordNet
it | it |  | 's guess of | be guess of | anybody | anybody | 
it | it |  | 's | be | anybody 's guess | guess | 
We | We | person:Pronoun | are not talking about | be talk about | a few gracefully muscled seven-footers | seven-footers | 
we | we | person:Pronoun | now have playing | play | professional basketball | basketball | game:WordNet,sport:WordNet,activity:WordNet
the supply of athletes | athlete | person:WordNet | grossly exceeds | exceed | the demand | demand | 
dads and lads | dad | person:WordNet | goes on for | go on for | 40 or 50 more years | year | time_period:WordNet
life | life |  | goes on for | go on for | 40 or 50 more years | year | time_period:WordNet
Michael Jordan | Michael Jordan | person:Stanford | soared for | soar for | a layup | layup | activity:WordNet
Jordan | Jordan | person:Stanford | had broken | break | a bone | bone | 
Jordan | Jordan | person:Stanford | had broken a bone in | break bone in | his foot | foot | 
Similar foot injuries | injury |  | also struck down | strike down | Bill Cartwright of the Knicks | Bill Cartwright | person:Stanford
Similar foot injuries | injury |  | also struck down Bill Cartwright of the Knicks , Frank Johnson of the Washington Bullets , Sam Bowie of the Portland Trail Blazers , Darrell Griffith of the Utah Jazz and Andrew Toney of the Philadelphia 76ers spreading | strike down Bill Cartwright of Knicks , Frank Johnson of Washington Bullets , Sam Bowie of Portland Trail Blazers , Darrell Griffith of Utah Jazz Andrew Toney of Philadelphia 76er spread | concern | concern | 
